Food counter 	Food type	Sub-category	Region	Year of study	Report type	"kg CO2-eq/kg produce, BFM or L after conversion"	Notes (conventional farming assumed unless stated)	Reference	reference number
Dairy Counter	Coconut-Milk	Milk	USA	2012	Conference	0.39	gallon gable tetrapak	"Feraldi, R., M. Huff, A. M. Molen and H. New (2012). Life Cycle Assessment of Coconut Milk and Two Non-Dairy Milk Beverage Alternatives. LCA XII. Tacoma, American Center for Life Cycle Assessment 23."	0060
Dairy Counter	Coconut-Milk	Milk	USA	2012	Conference	0.44	gallon gable carton	"Feraldi, R., M. Huff, A. M. Molen and H. New (2012). Life Cycle Assessment of Coconut Milk and Two Non-Dairy Milk Beverage Alternatives. LCA XII. Tacoma, American Center for Life Cycle Assessment 23."	0061
Dairy Counter	Cows Milk	Milk	Norway	2002	Journal	0.54	large farm	"Eide, M. (2002). ""Life cycle assessment (LCA) of industrial milk production."" The International Journal of Life Cycle Assessment 7(2): 115-126."	0062
Dairy Counter	Cows Milk	Milk	Norway	2002	Journal	0.55	medium  dairy	"Eide, M. (2002). ""Life cycle assessment (LCA) of industrial milk production."" The International Journal of Life Cycle Assessment 7(2): 115-126."	0063
Dairy Counter	Cows Milk	Milk	Norway	2002	Journal	0.62	small  dairy	"Eide, M. (2002). ""Life cycle assessment (LCA) of industrial milk production."" The International Journal of Life Cycle Assessment 7(2): 115-126."	0064
Dairy Counter	Cows Milk	Milk	portugal	2013	Journal	0.74		"González-García, S., É. G. Castanheira, A. C. Dias and L. Arroja (2013). ""Using Life Cycle Assessment methodology to assess UHT milk production in Portugal."" Science of The Total Environment 442(0): 225-234."	0065
Dairy Counter	Cows Milk	Milk	Germany	2013	Journal	0.74	ECM - low input	"Guerci, M., M. T. Knudsen, L. Bava, M. Zucali, P. Schönbach and T. Kristensen (2013). ""Parameters affecting the environmental impact of a range of dairy farming systems in Denmark, Germany and Italy."" Journal of Cleaner Production 54(0): 133-141."	0066
Dairy Counter	Cows Milk	Milk	Portugal	2013	Journal	0.75		"González-García, S., É. Castanheira, A. Dias and L. Arroja (2013). ""Environmental life cycle assessment of a dairy product: the yoghurt."" The International Journal of Life Cycle Assessment 18(4): 796-811."	0067
Dairy Counter	Cows Milk	Milk	portugal	2013	Journal	0.75		"González-García, S., É. G. Castanheira, A. C. Dias and L. Arroja (2013). ""Using Life Cycle Assessment methodology to assess UHT milk production in Portugal."" Science of The Total Environment 442(0): 225-234."	0068
Dairy Counter	Cows Milk	Milk	Ireland	2014	Journal	0.75		"O’Brien, D., J. L. Capper, P. C. Garnsworthy, C. Grainger and L. Shalloo (2014). ""A case study of the carbon footprint of milk from high-performing confinement and grass-based dairy farms."" Journal of Dairy Science 97(3): 1835-1851."	0069
Dairy Counter	Cows Milk	Milk	Netherlands	2005	Journal	0.77		"Schils, R. L. M., A. Verhagen, H. F. M. Aarts and L. B. J. _ebek (2005). ""A farm level approach to define successful mitigation strategies for GHG emissions from ruminant livestock systems."" Nutrient Cycling in Agroecosystems 71(2): 163-175."	0070
Dairy Counter	Cows Milk	Milk	USA	2014	Journal	0.79		"O’Brien, D., J. L. Capper, P. C. Garnsworthy, C. Grainger and L. Shalloo (2014). ""A case study of the carbon footprint of milk from high-performing confinement and grass-based dairy farms."" Journal of Dairy Science 97(3): 1835-1851."	0071
Dairy Counter	Cows Milk	Milk	Netherlands	2005	Journal	0.84		"Schils, R. L. M., A. Verhagen, H. F. M. Aarts and L. B. J. _ebek (2005). ""A farm level approach to define successful mitigation strategies for GHG emissions from ruminant livestock systems."" Nutrient Cycling in Agroecosystems 71(2): 163-175."	0072
Dairy Counter	Cows Milk	Milk	Denmark	2004	Report	0.87	clay soil high stock	"Dalgaard, R., N. Halberg, I. S. Kristensen and I. Larsen (2004). An LC inventory based on representative and coherent farm types. Life Cycle Assessment in the Agri-food sector,  (61), DIAS Report, Animal Husbandry. N. Halberg. Danish Institute of Agricultural Sciences: 98-106."	0073
Dairy Counter	Cows Milk	Milk	portugal	2013	Journal	0.87		"González-García, S., É. G. Castanheira, A. C. Dias and L. Arroja (2013). ""Using Life Cycle Assessment methodology to assess UHT milk production in Portugal."" Science of The Total Environment 442(0): 225-234."	0074
Dairy Counter	Cows Milk	Milk	Denmark	2004	Report	0.89	"clay soil, low stock"	"Dalgaard, R., N. Halberg, I. S. Kristensen and I. Larsen (2004). An LC inventory based on representative and coherent farm types. Life Cycle Assessment in the Agri-food sector,  (61), DIAS Report, Animal Husbandry. N. Halberg. Danish Institute of Agricultural Sciences: 98-106."	0075
