FoodNumber,FoodName,CO2e,CO2eRef
134,"WHOLEMEAL BREAD FRIED BLENDED OIL",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
135,"WHOLEMEAL BREAD FRIED PUFA OIL",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
136,"WHOLEMEAL BREAD FRIED IN DRIPPING",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
137,"BREAD WHOLEMEAL FRIED IN LARD",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
138,"BREAD WHOLEMEAL TOASTED",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
139,"BREADCUMBS WHITE HOMEMADE DRIED",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
140,"BREADCRUMBS SHOP-BOUGHT DRIED",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
141,"CHAPATIS BROWN IN BUTTER GHEE",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
142,"CHAPATIS BROWN IN VEG GHEE",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
143,"CHAPATI BROWN NO FAT",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
144,"CHAPATIS WHITE IN BUTTER GHEE",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
145,"CHAPATIS WHITE IN VEGETABLE GHEE",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
146,"CHAPATI WHITE MADE WITHOUT FAT",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
147,"CRUMPETS PIKELETS",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
148,"CRUMPETS PIKELETS TOASTED",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
149,"MALT LOAF FRUIT PURCHASED",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
150,"MALT LOAF, TOASTED",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
151,"MUFFINS PLAIN ENGLISH NOT WHOLEMEAL",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
152,"MUFFINS WHITE TOASTED",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
153,"PAPADUMS/POPPADOMS GRILLED OR BAKED",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
154,"PAPADUMS/POPPADOMS FRIED IN BUTTER GHEE",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
155,"PAPADUMS/POPPADOMS FRIED IN VEG. GHEE",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
157,"ROLLS HAMBURGER BUNS",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
158,"ROLLS WHITE CRUSTY",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
159,"ROLLS, WHITE SOFT, NOT FORTIFIED",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
160,"ROLLS WHITE STARCH REDUCED",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
161,"ROLLS, WHOLEMEAL, NOT FORTIFIED",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
162,"BREAD VITBE FRIED BLENDED OIL",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
163,"BREAD VITBE FRIED DRIPPING",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
164,"BREAD VITBE FRIED IN LARD",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
165,"VITBE HOVIS FRIED IN PUFA OIL",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
166,"CROISSANTS PLAIN NOT FILLED",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
167,"WHOLE MEAL MALT LOAF",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
168,"WHOLEMEAL MALT LOAF TOASTED",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
169,"ROLL GRANARY BROWN WHEATGERM TOASTED",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
170,"HAMBURGER ROLLS TOASTED",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
171,"ROLLS WHITE TOASTED",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
172,"ROLLS WHOLEMEAL TOASTED",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
173,"MUFFINS ENGLISH WHOLEMEAL OR BRAN",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
174,"WHOLEMEAL MUFFINS TOASTED",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
201,"ALL BRAN KELLOGGS ONLY",  250,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
202,"BRANFLAKES KELLOGGS ONLY",  250,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
203,"SULTANA BRAN KELLOGGS ONLY",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
204,"COCO POPS KELLOGGS ONLY",  933,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
205,"CORNFLAKES KELLOGG'S ONLY",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
206,"CORNFLAKES OWN BRAND NOT KELLOGG'S",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
210,"GRAPENUTS",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
212,"MUESLI E.G. ALPEN WITH ADDED SUGAR NOT KELLOGGS COUNTRY STORE",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
213,"CRUNCHY CLUSTERS TYPE CEREAL WITHOUT NUTS",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
214,"MUESLI, NO ADDED SUGAR",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
215,"PORRIDGE MADE WITH WATER AND ADDED SALT",  259,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
216,"PORRIDGE MADE WITH WHOLE MILK AND ADDED SALT",  259,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
217,"PORRIDGE MADE WITH WHOLE MILK & WATER AND ADDED SALT",  259,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
218,"PUFFED WHEAT, NOT HONEY COATED",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
219,"READY BREK AS SERVED",  259,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
220,"RICE KRISPIES KELLOGGS ONLY",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
221,"SHREDDED WHEAT, INCLUDES NESTLE AND OWN BRAND, NO ADDITIONS",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
223,"SPECIAL K KELLOGG'S",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
224,"HONEY COATED PUFFED WHEAT INCLUDING QUAKER SUGAR PUFFS AND OWN BRAND",  267,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
225,"WEETABIX AND OTHER WHOLEWHEAT BISKS FORTIFIED",  250,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
227,"FROSTIES-KELLOGGS ONLY",  283,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
228,"MULTIGRAIN START KELLOGGS",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
229,"FRUIT AND FIBRE KELLOGGS ONLY",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
